rel_path,folder,file_name,duration_sec,sr,channels,peak_dbfs,rms_dbfs,crest_db,spec_centroid_mean,spec_spread_mean,spec_flatness_mean,mfcc01_mean,mfcc02_mean,mfcc03_mean,mfcc04_mean,mfcc05_mean
basswt/basswt40.wav,basswt,basswt40.wav,0.6721315192743764,44100.0,2.0,-11.43268043179287,-22.139502863737206,10.706822431944337,1037.244384765625,1570.924560546875,-40.150394439697266,-114.67080688476562,80.289794921875,28.653301239013672,18.474231719970703,9.125677108764648
basswt/basswt41.wav,basswt,basswt41.wav,0.6789569160997733,44100.0,2.0,-9.788553305913211,-22.15730144931816,12.36874814340495,4673.78125,5223.990234375,-8.184432029724121,42.14592361450195,-4.084195613861084,2.6950860023498535,17.769145965576172,25.801719665527344
basswt/basswt42.wav,basswt,basswt42.wav,0.6845351473922903,44100.0,2.0,-9.649777381057469,-22.17168038572773,12.52190300467026,3399.074951171875,4275.984375,-11.370258331298828,30.29210090637207,8.90180778503418,-7.333795070648193,4.921329975128174,3.1022613048553467
basswt/basswt43.wav,basswt,basswt43.wav,1.208843537414966,44100.0,2.0,-13.342136802605925,-22.09072033922025,8.748583536614326,1018.4992065429688,1283.8560791015625,-41.946556091308594,-98.41255187988281,107.82276153564453,-12.329085350036621,21.75104331970215,15.258855819702148
basswt/basswt44.wav,basswt,basswt44.wav,1.2124489795918367,44100.0,2.0,-12.6062993778886,-22.100404699979492,9.494105322090892,1544.280029296875,1775.82080078125,-35.8223876953125,-77.4814453125,85.6714859008789,1.4053423404693604,14.91875171661377,-16.350570678710938
basswt/basswt45.wav,basswt,basswt45.wav,1.2140816326530612,44100.0,2.0,-12.107721991259705,-22.105916895898364,9.998194904638659,2180.605712890625,2178.43212890625,-32.50095748901367,-65.60692596435547,68.96398162841797,-3.8547775745391846,-6.03693151473999,3.2728264331817627
basswt/basswt46.wav,basswt,basswt46.wav,0.37231292517006803,44100.0,2.0,-15.500165800147299,-22.347906750438625,6.8477409502913265,2924.490966796875,2585.71923828125,-28.2973575592041,-150.61895751953125,59.330806732177734,-6.118685722351074,21.01983642578125,-7.223241806030273
basswt/basswt6.wav,basswt,basswt6.wav,0.35122448979591836,44100.0,2.0,-13.699150034170538,-22.333817642779948,8.63466760860941,638.5785522460938,888.3955078125,-49.947418212890625,-267.3226318359375,110.61796569824219,72.70165252685547,20.793502807617188,13.730578422546387
bd/bd1.wav,bd,bd1.wav,0.3447392290249433,44100.0,2.0,-3.8258198656913285,-10.048567235338375,6.222747369647046,160.6092529296875,641.4395141601562,-52.774681091308594,-184.84768676757812,76.31787872314453,53.74883270263672,35.62175750732422,22.922161102294922
bd/bd2.wav,bd,bd2.wav,0.27580498866213154,44100.0,2.0,-3.4239048480427874,-10.043765415764682,6.6198605677218945,155.6121368408203,642.2522583007812,-53.77717971801758,-197.93606567382812,74.06442260742188,57.823726654052734,35.7286491394043,28.26738739013672
bd/bd3.wav,bd,bd3.wav,0.33573696145124715,44100.0,2.0,-3.8243787880428486,-10.079000743767498,6.25462195572465,216.08738708496094,842.0235595703125,-48.64778518676758,-171.44439697265625,52.6328125,57.0545654296875,38.682106018066406,23.44584083557129
bd/bd4.wav,bd,bd4.wav,0.38240362811791384,44100.0,2.0,-1.0001519038096112,-10.99100881508029,9.99085691127068,386.6861572265625,1656.709716796875,-35.09998321533203,-134.24046325683594,9.125720024108887,31.61832618713379,38.715702056884766,22.7786865234375
bd/bd5.wav,bd,bd5.wav,0.4396598639455782,44100.0,2.0,-0.999854487670355,-10.635329498660413,9.635475010990058,251.53579711914062,1176.771728515625,-41.09645080566406,-147.1310577392578,27.567241668701172,34.874122619628906,31.245588302612305,25.480207443237305
